"Cell","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland"
"Industry","E12000001","E12000002","E12000003","E12000004","E12000005","E12000006","E12000007","E12000008","E12000009","W92000004","S92000003"
"All Divisions : All Office Workers - Males",11032,34706,22226,19543,26566,34105,53599,53388,22963,11150,-
"All Divisions : All Non-Office Workers - Males",50772,132786,98568,80729,103384,95794,124321,135501,86163,53710,-
"All Divisions : All Office Workers - Females",12329,36503,22961,18742,27189,30242,59816,46446,22054,11703,-
"All Divisions : All Non-Office Workers - Females",29723,80122,57070,45257,58500,50602,70131,74487,45608,29016,-
"0 Agriculture, forestry and fishing : All Office Workers - Males",17,41,84,57,49,105,20,165,76,41,-
"0 Agriculture, forestry and fishing : All Non-Office Workers - Males",1264,3284,3641,3810,3364,5355,357,5114,6123,3388,-
"0 Agriculture, forestry and fishing : All Office Workers - Females",28,67,95,123,98,234,20,265,153,44,-
"0 Agriculture, forestry and fishing : All Non-Office Workers - Females",173,552,608,753,641,1123,48,1450,1175,577,-
"1 Energy and water supply industries : All Office Workers - Males",683,1373,1391,1200,908,1003,1473,1715,871,841,-
"1 Energy and water supply industries : All Non-Office Workers - Males",4996,4173,8892,7854,3776,2040,2242,3426,1645,4757,-
"1 Energy and water supply industries : All Office Workers - Females",368,714,662,493,602,474,1187,889,431,388,-
"1 Energy and water supply industries : All Non-Office Workers - Females",172,309,318,257,203,141,279,251,146,162,-
"2 Extraction/manufacture: minerals/metals : All Office Workers - Males",959,2471,1940,1076,1855,1162,1137,1799,645,1012,-
"2 Extraction/manufacture: minerals/metals : All Non-Office Workers - Males",5169,9550,8688,4284,8043,3329,2525,4112,2991,5210,-
"2 Extraction/manufacture: minerals/metals : All Office Workers - Females",446,1363,980,727,1146,830,1286,1209,381,379,-
"2 Extraction/manufacture: minerals/metals : All Non-Office Workers - Females",590,1775,1146,915,2484,747,852,1340,539,464,-
"3 Metal goods/vehicle industries, etc : All Office Workers - Males",2052,6737,3562,4725,8311,7504,5318,9798,5024,1482,-
"3 Metal goods/vehicle industries, etc : All Non-Office Workers - Males",8815,22199,13203,13379,28713,15683,12536,19184,12066,6382,-
"3 Metal goods/vehicle industries, etc : All Office Workers - Females",833,3098,1634,1862,4120,3055,3357,4460,1912,684,-
"3 Metal goods/vehicle industries, etc : All Non-Office Workers - Females",1664,4107,2110,2029,6805,3459,3128,4132,1853,1681,-
"4 Other manufactiuring industries : All Office Workers - Males",788,3998,2655,2706,2488,3474,4504,4376,2070,717,-
"4 Other manufactiuring industries : All Non-Office Workers - Males",3883,18155,11906,10696,9144,10938,13106,11837,8917,3728,-
"4 Other manufactiuring industries : All Office Workers - Females",701,3132,2286,2274,2055,2585,4441,3280,1700,659,-
"4 Other manufactiuring industries : All Non-Office Workers - Females",3274,12444,9201,10747,5576,5910,6459,4880,4258,2700,-
"5 Construction : All Office Workers - Males",972,2451,1607,1278,1837,2273,2801,3727,1449,896,-
"5 Construction : All Non-Office Workers - Males",6164,15193,10464,8550,10393,11963,15520,16520,10566,6602,-
"5 Construction : All Office Workers - Females",453,1186,820,644,955,1004,1741,1537,720,388,-
"5 Construction : All Non-Office Workers - Females",131,262,181,148,216,175,285,299,157,77,-
"6 Distribution, hotels/cateringl repairs : All Office Workers - Males",684,2956,2012,1794,2105,2862,4905,4623,1927,738,-
"6 Distribution, hotels/cateringl repairs : All Non-Office Workers - Males",6589,22465,15653,12977,16296,17590,27133,25818,16647,8290,-
"6 Distribution, hotels/cateringl repairs : All Office Workers - Females",1758,5690,3742,2815,3978,4248,7912,6596,3418,1497,-
"6 Distribution, hotels/cateringl repairs : All Non-Office Workers - Females",9761,24654,17926,12744,17136,15093,18830,23594,15512,9458,-
"7 Transport/communication : All Office Workers - Males",659,2639,1555,1148,1241,2653,6028,4246,1356,806,-
"7 Transport/communication : All Non-Office Workers - Males",4282,12483,8104,5346,6515,8294,17342,13539,6372,4576,-
"7 Transport/communication : All Office Workers - Females",677,2287,1295,1107,1450,1957,4787,3102,1224,771,-
"7 Transport/communication : All Non-Office Workers - Females",385,914,803,572,726,728,1603,1296,514,303,-
"8 Banking, finance, insurance, leasing etc. : All Office Workers - Males",1712,6420,3813,2896,4383,8074,16665,12876,4653,1803,-
"8 Banking, finance, insurance, leasing etc. : All Non-Office Workers - Males",1040,3276,2026,1499,2306,2541,5765,4191,1985,1081,-
"8 Banking, finance, insurance, leasing etc. : All Office Workers - Females",2248,7609,4756,3592,5603,8153,17803,11450,5416,2220,-
"8 Banking, finance, insurance, leasing etc. : All Non-Office Workers - Females",423,1110,714,490,773,664,1963,1215,623,269,-
"9 Other services : All Office Workers - Males",2506,5620,3607,2663,3389,4995,10748,10063,4892,2814,-
"9 Other services : All Non-Office Workers - Males",8570,22008,15991,12334,14834,18061,27795,31760,18851,9696,-
"9 Other services : All Office Workers - Females",4817,11357,6691,5105,7182,7702,17282,13658,6699,4673,-
"9 Other services : All Non-Office Workers - Females",13150,33995,24063,16602,23940,22562,36684,36030,20831,13325,-
"01 Agriculture and horticulture : All Office Workers - Males",5,19,28,46,34,72,12,98,36,15,-
"01 Agriculture and horticulture : All Non-Office Workers - Males",1121,3134,3418,3738,3296,5165,344,4858,5828,3175,-
"01 Agriculture and horticulture : All Office Workers - Females",25,59,81,118,93,211,16,235,136,31,-
"01 Agriculture and horticulture : All Non-Office Workers - Females",169,548,601,751,638,1115,47,1439,1167,572,-
"02 Forestry : All Office Workers - Males",4,13,8,6,12,14,7,54,18,19,-
"02 Forestry : All Non-Office Workers - Males",70,79,57,60,61,80,9,164,142,179,-
"02 Forestry : All Office Workers - Females",3,6,6,5,5,13,2,25,12,13,-
"02 Forestry : All Non-Office Workers - Females",2,4,0,2,2,4,1,7,5,4,-
"03 Fishing : All Office Workers - Males",8,9,48,5,3,19,1,13,22,7,-
"03 Fishing : All Non-Office Workers - Males",73,71,166,12,7,110,4,92,153,34,-
"03 Fishing : All Office Workers - Females",0,2,8,0,0,10,2,5,5,0,-
"03 Fishing : All Non-Office Workers - Females",2,0,7,0,1,4,0,4,3,1,-
"11 Coal extraction/manufacture of solid fuels : All Office Workers - Males",230,106,569,489,185,10,31,34,5,231,-
"11 Coal extraction/manufacture of solid fuels : All Non-Office Workers - Males",3687,1040,6531,6131,1954,12,25,319,12,3000,-
"11 Coal extraction/manufacture of solid fuels : All Office Workers - Females",63,24,213,122,63,5,34,18,2,68,-
"11 Coal extraction/manufacture of solid fuels : All Non-Office Workers - Females",72,30,135,141,39,0,18,7,0,47,-
"12 Coke ovens : All Office Workers - Males",5,0,10,16,6,0,2,0,0,13,-
"12 Coke ovens : All Non-Office Workers - Males",164,3,156,122,11,1,2,7,2,170,-
"12 Coke ovens : All Office Workers - Females",4,0,3,15,2,0,0,1,0,1,-
"12 Coke ovens : All Non-Office Workers - Females",0,0,3,8,1,0,0,1,0,7,-
"13 Extraction of mineral oil and natural gas : All Office Workers - Males",38,48,17,22,8,113,191,145,14,7,-
"13 Extraction of mineral oil and natural gas : All Non-Office Workers - Males",159,86,80,50,34,163,95,104,44,29,-
"13 Extraction of mineral oil and natural gas : All Office Workers - Females",7,11,4,3,3,30,136,47,1,0,-
"13 Extraction of mineral oil and natural gas : All Non-Office Workers - Females",1,2,1,2,0,4,13,8,0,0,-
"14 Mineral oil processing : All Office Workers - Males",15,104,47,12,22,173,206,270,11,108,-
"14 Mineral oil processing : All Non-Office Workers - Males",61,539,104,56,80,248,129,466,27,308,-
"14 Mineral oil processing : All Office Workers - Females",5,40,15,3,27,55,189,76,8,14,-
"14 Mineral oil processing : All Non-Office Workers - Females",2,27,9,4,7,11,40,33,2,13,-
"15 Nuclear fuel production : All Office Workers - Males",2,115,3,4,1,1,0,1,0,0,-
"15 Nuclear fuel production : All Non-Office Workers - Males",3,337,2,3,4,1,0,5,0,4,-
"15 Nuclear fuel production : All Office Workers - Females",0,36,0,1,0,0,0,1,0,0,-
